iter	Passed	Remaining
402	12733	18862
403	12762	18827
404	12794	18797
405	12824	18763
406	12854	18729
407	12883	18693
408	12912	18658
409	12942	18625
410	12972	18590
411	13002	18556
412	13032	18522
413	13060	18487
414	13090	18452
415	13124	18424
416	13148	18383
417	13178	18349
418	13207	18314
419	13236	18278
420	13265	18244
421	13297	18213
422	13326	18178
423	13356	18144
424	13389	18115
425	13418	18080
426	13448	18046
427	13478	18013
428	13508	17979
429	13537	17944
430	13568	17913
431	13617	17904
432	13649	17873
433	13680	17841
434	13710	17807
435	13740	17773
436	13770	17740
437	13799	17706
438	13831	17675
439	13865	17646
440	13897	17615
441	13930	17586
442	13964	17558
443	13995	17526
444	14025	17492
445	14056	17459
446	14086	17427
447	14119	17396
448	14148	17362
449	14177	17328
450	14224	17314
451	14255	17282
452	14288	17253
453	14319	17221
454	14349	17187
455	14379	17154
456	14411	17123
457	14441	17089
458	14470	17055
459	14501	17023
460	14530	16989
461	14560	16955
462	14589	16921
463	14619	16888
464	14650	16855
465	14680	16822
466	14710	16789
467	14740	16756
468	14774	16727
469	14804	16694
470	14833	16660
471	14867	16631
472	14896	16597
473	14925	16563
474	14954	16528
475	14984	16495
476	15015	16463
477	15044	16429
478	15073	16395
479	15104	16363
480	15136	16332
481	15165	16298
482	15196	16266
483	15225	16232
484	15254	16198
485	15286	16166
486	15316	16134
487	15349	16103
488	15380	16072
489	15413	16042
490	15445	16011
491	15476	15979
492	15508	15948
493	15540	15917
494	15571	15885
495	15604	15855
496	15636	15825
497	15666	15792
498	15697	15760
499	15727	15727
500	15756	15693
501	15786	15661
502	15817	15628
503	15849	15597
504	15878	15564
505	15906	15529
506	15937	15497
507	15967	15464
508	15986	15421
509	16014	15386
510	16045	15354
511	16077	15323
512	16109	15292
513	16139	15260
514	16169	15227
515	16198	15194
516	16228	15161
517	16258	15128
518	16290	15097
519	16321	15066
520	16352	15034
521	16382	15001
522	16411	14967
523	16442	14936
524	16471	14902
525	16501	14869
526	16530	14836
527	16559	14803
528	16589	14770
529	16618	14737
530	16649	14705
531	16679	14673
532	16710	14641
533	16740	14608
534	16770	14576
535	16799	14543
536	16828	14509
537	16858	14476
538	16889	14445
539	16919	14412
540	16954	14384
541	16984	14351
542	17015	14320
543	17045	14287
544	17074	14254
545	17105	14223
546	17135	14190
547	17164	14157
548	17194	14124
549	17223	14092
550	17254	14060
551	17286	14029
552	17316	13997
553	17345	13964
554	17377	13933
555	17406	13900
556	17436	13868
557	17466	13835
558	17492	13799
559	17520	13766
560	17549	13732
561	17579	13700
562	17610	13668
563	17638	13635
564	17667	13602
565	17697	13570
566	17728	13538
567	17756	13505
568	17785	13471
569	17814	13439
570	17847	13409
571	17878	13377
572	17907	13344
573	17938	13312
574	17966	13279
575	17995	13246
576	18025	13214
577	18065	13189
578	18106	13165
579	18137	13133
580	18166	13100
581	18196	13069
582	18227	13037
583	18259	13007
584	18288	12974
585	18318	12941
586	18348	12909
587	18381	12879
588	18411	12847
589	18441	12815
590	18470	12782
591	18500	12750
592	18530	12718
593	18560	12685
594	18590	12653
595	18620	12621
596	18649	12588
597	18678	12556
598	18706	12523
599	18736	12491
600	18766	12459
601	18796	12426
602	18825	12394
603	18854	12361
604	18883	12328
605	18912	12296
606	18942	12264
607	18972	12232
608	19002	12200
609	19032	12168
610	19061	12135
611	19092	12104
612	19121	12071
613	19158	12044
614	19189	12012
615	19220	11981
616	19252	11950
617	19282	11918
618	19311	11886
619	19342	11854
620	19371	11822
621	19400	11790
622	19431	11758
623	19459	11725
624	19489	11693
625	19517	11660
626	19546	11628
627	19576	11596
628	19605	11564
629	19636	11532
630	19665	11500
631	19695	11468
632	19725	11436
633	19754	11404
634	19784	11371
635	19813	11339
636	19842	11307
637	19873	11276
638	19904	11244
639	19932	11212
640	19961	11179
641	19990	11147
642	20019	11114
643	20049	11083
644	20080	11052
645	20110	11020
646	20138	10987
647	20166	10954
648	20195	10922
649	20224	10890
650	20255	10859
651	20285	10827
652	20315	10795
653	20345	10763
654	20374	10731
655	20403	10699
656	20432	10667
657	20461	10634
658	20490	10602
659	20520	10571
660	20551	10539
661	20582	10508
662	20612	10477
663	20641	10444
664	20670	10413
665	20710	10386
666	20740	10354
667	20770	10322
668	20800	10291
669	20829	10259
670	20860	10228
671	20891	10197
672	20920	10165
673	20949	10132
674	20978	10100
675	21008	10068
676	21037	10037
677	21070	10006
678	21099	9975
679	21129	9943
680	21158	9911
681	21187	9879
682	21218	9848
683	21249	9816
684	21279	9785
685	21308	9753
686	21340	9722
687	21369	9690
688	21398	9658
689	21428	9627
690	21465	9598
691	21496	9567
692	21526	9536
693	21557	9505
694	21587	9473
695	21617	9442
696	21646	9410
697	21677	9379
698	21705	9346
699	21737	9316
700	21767	9284
701	21797	9253
702	21825	9220
703	21853	9188
704	21886	9158
705	21917	9127
706	21946	9095
707	21976	9063
708	22004	9031
709	22033	8999
710	22066	8969
711	22095	8937
712	22125	8906
713	22155	8874
714	22183	8842
715	22212	8810
716	22228	8773
717	22257	8741
718	22286	8710
719	22316	8678
720	22346	8647
721	22375	8615
722	22403	8583
