iter	RMSE
154	0.7283477199
155	0.7268398352
156	0.725548285
157	0.7241901357
158	0.7228467432
159	0.7216051046
160	0.7204835088
161	0.7193007563
162	0.7179197013
163	0.7167722971
164	0.7155862416
165	0.714434301
166	0.7132303189
167	0.7119744203
168	0.7108461898
169	0.7094918779
170	0.7082053385
171	0.7069329139
172	0.7058273808
173	0.7047416904
174	0.7036741157
175	0.7031297015
176	0.7020276775
177	0.7010658391
178	0.70014595
179	0.6991534217
180	0.698231259
181	0.6972075371
182	0.6962267103
183	0.6950117766
184	0.6941010447
185	0.6931704548
186	0.6919650292
187	0.6911587898
188	0.6903352658
189	0.6892064167
190	0.6882759959
191	0.6874365462
192	0.6865124868
193	0.6854282245
194	0.6844714638
195	0.6835315054
196	0.6826097508
197	0.6818015992
198	0.6810295797
199	0.6802125622
200	0.6795421611
201	0.678890374
202	0.6781348686
203	0.6773812859
204	0.6767528101
205	0.6758546384
206	0.675124957
207	0.6743461786
208	0.6734017863
209	0.672480958
210	0.67161664
211	0.6709399698
212	0.6702233883
213	0.669430485
214	0.6687674677
215	0.668044219
216	0.6674886527
217	0.6667452563
218	0.6664409364
219	0.6656350386
220	0.6650465313
221	0.6642417165
222	0.6636509525
223	0.6629349553
224	0.662224197
225	0.6616889325
226	0.6611657732
227	0.6603275869
228	0.6595247582
229	0.6588246625
230	0.658248854
231	0.6576077746
232	0.6570602642
233	0.6567002008
234	0.6560105199
235	0.6554259211
236	0.6548063642
237	0.6540781355
238	0.6533744203
239	0.6527974928
240	0.6521706008
241	0.6515833338
242	0.6510383474
243	0.6505006617
244	0.6499747392
245	0.6494578825
246	0.6489340976
247	0.6483997328
248	0.647685882
249	0.6470468641
250	0.6463546564
251	0.6457344102
252	0.6452444196
253	0.6445939883
254	0.6440026903
255	0.6436271295
256	0.6431825583
257	0.6426035264
258	0.6420196212
259	0.6414289089
260	0.6409158529
261	0.6404037624
262	0.6400022189
263	0.6394363292
264	0.6390277551
265	0.6385943107
266	0.6381544896
267	0.6377755411
268	0.6373511708
269	0.6368068174
270	0.6363624948
271	0.6358403578
272	0.6352740262
273	0.6347456061
274	0.634157663
275	0.6337256602
276	0.6333203954
277	0.6329228635
278	0.6325312632
279	0.6320379725
280	0.6314076703
281	0.6309530879
282	0.6303774442
283	0.6300013656
284	0.6295539905
285	0.6290390118
286	0.6284687862
287	0.6280328087
288	0.627626561
289	0.6272569501
290	0.6267222401
291	0.6263726325
292	0.6259482383
293	0.6254768758
294	0.6251592047
295	0.6247175097
296	0.6244191513
297	0.6241044313
298	0.6236880712
299	0.6232611291
300	0.6228703825
301	0.6224385838
302	0.6219919899
303	0.62157822
304	0.6210111922
305	0.6207305966
306	0.6203596891
307	0.6200379657
308	0.6197418083
309	0.6193922868
310	0.6189638326
311	0.6186075723
312	0.6182642562
313	0.6180238721
314	0.6176463316
315	0.6172122353
316	0.6169352753
317	0.6166680278
318	0.6163960659
319	0.616126948
320	0.6158625368
321	0.6154287907
322	0.6151529769
323	0.6146241419
324	0.6142643916
325	0.6140152452
326	0.6136914215
327	0.6134180619
328	0.6130205455
329	0.6126636456
330	0.6123710041
331	0.6120189799
332	0.6115689199
333	0.6113188565
334	0.6110316453
335	0.6106494066
336	0.610321528
337	0.610086749
338	0.6098869141
339	0.6096505599
340	0.6093454927
341	0.6090641885
342	0.6086710304
343	0.6084424419
344	0.6081513665
345	0.6078136761
346	0.6075322715
347	0.6073124844
348	0.6069340435
349	0.6066130127
350	0.606313178
351	0.6060458829
352	0.6057925945
353	0.6055382283
354	0.6052592101
355	0.6050159396
356	0.6047931255
357	0.6044371512
358	0.6041752837
359	0.6038434574
360	0.6036249705
361	0.603306962
362	0.6030115221
363	0.6026841438
364	0.6024307156
365	0.6021804185
366	0.6019353328
367	0.601649196
368	0.6014815458
369	0.6012672641
370	0.6010770787
371	0.6008874703
372	0.6007508162
373	0.6004858463
374	0.6003098819
375	0.600100827
376	0.5999346418
377	0.5996977274
378	0.5994118808
379	0.5992564003
380	0.5990883436
381	0.5988447839
382	0.5986690772
383	0.598414074
384	0.5981661007
385	0.5979454266
386	0.5977661264
387	0.5975862959
388	0.5973296074
389	0.5970850649
390	0.5968105536
391	0.5965483083
392	0.5963628677
393	0.5962227519
394	0.5960594822
395	0.5957791373
396	0.5955943696
397	0.5954204907
398	0.5952122575
399	0.5949982379
400	0.5947083881
401	0.5945158028
402	0.5942292164
403	0.5940996934
404	0.5938824291
405	0.5936770254
406	0.5935010952
407	0.593297699
408	0.5931117327
409	0.5929271682
410	0.5927979518
411	0.5926121983
412	0.5924125397
413	0.5921462682
414	0.5919148344
415	0.5917700471
416	0.591640806
417	0.591427655
418	0.5912910582
419	0.5910803015
420	0.5907281165
421	0.5905702967
422	0.5903663302
423	0.5901544868
424	0.5899040702
425	0.5897253375
426	0.5894177538
427	0.5891604074
428	0.5889626225
429	0.5887630936
430	0.5886051228
431	0.5884041575
432	0.5882276786
433	0.5880945964
434	0.5879795409
435	0.587806201
436	0.5875678309
437	0.587331996
438	0.5871066396
439	0.5868554105
440	0.5866949479
441	0.5865168892
442	0.5862316826
443	0.5860296584
444	0.5858719082
445	0.5856257505
446	0.5854352106
447	0.585249203
448	0.5849116327
449	0.5847229272
450	0.5845141554
451	0.5843986972
452	0.5842087479
453	0.5839844035
454	0.5837793446
455	0.5836354218
456	0.5834304446
457	0.583233272
458	0.5830887531
459	0.5829328035
460	0.582814504
461	0.5826228111
462	0.5825129426
463	0.582269413
464	0.5819750903
465	0.5818149572
466	0.5815817222
467	0.5814177469
468	0.5812731091
469	0.5811233306
470	0.5809171694
471	0.5806282733
472	0.5805050572
473	0.5803545573
474	0.5802491896
475	0.580118535
476	0.579963084
477	0.5797855753
478	0.5796786913
479	0.5795257198
480	0.5791921754
481	0.5790808767
482	0.5789618772
483	0.5786340597
484	0.5784592544
485	0.5783111773
486	0.5781447457
487	0.5778649978
488	0.5776765892
489	0.5775828272
490	0.5774374278
491	0.5772794048
492	0.5770469205
493	0.5768999225
494	0.5767530544
495	0.5766259099
496	0.5765379618
497	0.5763845389
498	0.5762334824
499	0.5761238188
500	0.5759402269
501	0.5758634605
502	0.5757655768
503	0.5755459408
504	0.5754531002
505	0.5752758629
506	0.5750542507
507	0.574884612
508	0.5747776445
509	0.5745919246
510	0.5744419629
511	0.5740835637
512	0.5739113698
513	0.5738130907
514	0.5736317303
515	0.5735011506
516	0.573392264
517	0.5733073901
518	0.5731727421
519	0.5730144055
520	0.5728433352
521	0.5726385856
522	0.5724940122
523	0.5723210895
524	0.5722132246
525	0.5721265412
526	0.5719347671
527	0.5717899014
528	0.5716277158
529	0.5715073772
530	0.5713149966
531	0.5712309202
532	0.571132719
533	0.5710139582
534	0.5709030108
535	0.5707346625
536	0.5704972179
537	0.570212944
538	0.5701185426
539	0.5699668313
540	0.5698101312
541	0.5697128534
542	0.5695186103
543	0.5694209406
544	0.5692760134
545	0.5691469718
546	0.5690266183
547	0.5689555022
548	0.5687983501
549	0.5686691938
550	0.5685596822
551	0.5684268976
552	0.5682436291
553	0.5679968026
554	0.5676120532
555	0.567355191
556	0.5672504186
557	0.5670203867
558	0.5669730129
559	0.5667863026
560	0.5666009769
561	0.5664433424
562	0.5663095487
563	0.5661053666
564	0.5658829321
565	0.5658249397
566	0.5656922805
567	0.5655701058
568	0.5654519927
569	0.5652788779
570	0.5651210288
571	0.5649714771
572	0.5648794837
573	0.5646812474
574	0.5645614438
575	0.5644651817
576	0.5643287921
577	0.5642334301
578	0.5641415948
579	0.5640398904
580	0.5639355782
581	0.5638326958
582	0.5637460411
583	0.563541362
584	0.5633429338
585	0.5632894708
586	0.5631980847
587	0.5630213129
588	0.5629736052
589	0.5628521514
590	0.5627405269
591	0.5625658157
592	0.5624228002
593	0.5623373271
594	0.5621096947
595	0.5619155053
596	0.5618370348
597	0.56172412
598	0.5616025449
599	0.5615367626
600	0.5614324305
601	0.5613092865
602	0.5611665327
603	0.561042564
604	0.560925063
605	0.5608437424
606	0.5607513007
607	0.5605898963
608	0.5604421551
609	0.5603246676
610	0.5602171604
611	0.5601489011
612	0.5600773373
613	0.5600118694
614	0.5598957058
615	0.5596240135
616	0.5593717336
617	0.5592213594
618	0.5590615663
619	0.558908085
620	0.5587562863
621	0.558621323
622	0.5585995622
623	0.5584324844
624	0.5582647271
625	0.5581599799
626	0.5579911864
627	0.5579037762
628	0.5578297732
629	0.5576905789
630	0.5575081185
631	0.5573706726
632	0.5572766594
633	0.5571754348
634	0.5570585345
635	0.5568655582
636	0.5567132637
637	0.5565468479
638	0.556326656
639	0.5562407342
640	0.5560118228
641	0.555905698
642	0.5557803717
643	0.5557048814
644	0.555567193
645	0.5554778704
646	0.5554087177
647	0.5552973449
648	0.555155601
649	0.5550295344
650	0.5549587072
651	0.5548092603
652	0.5547448986
653	0.5546319512
654	0.5544739823
655	0.5543709593
656	0.5542537867
657	0.5541080263
658	0.5539956668
659	0.5538958691
660	0.5537748055
661	0.5536811315
662	0.5535410638
663	0.5534568436
664	0.5533113311
665	0.5531274789
666	0.5530200671
667	0.5529528807
668	0.5528825902
669	0.552838062
670	0.5527509212
671	0.5526828208
672	0.5526006558
673	0.5525416202
674	0.5524816333
675	0.5523490206
676	0.5522530308
677	0.5521479992
678	0.5520026226
679	0.5519411199
680	0.5518267745
681	0.5516261481
682	0.5514580439
683	0.5513751285
684	0.5511668444
685	0.55103135
686	0.5508197396
687	0.5507500929
688	0.5506007743
689	0.5505429038
690	0.5504276741
691	0.5503534613
692	0.5501775767
693	0.5501134768
694	0.5499913037
695	0.5499359362
696	0.5498291415
697	0.5496987648
698	0.5496202235
699	0.5494975806
700	0.5494047503
701	0.5492651669
702	0.5492218845
703	0.5491627987
704	0.5490930153
705	0.5490103377
706	0.5489443548
707	0.5488202101
708	0.5487516986
709	0.5485786762
710	0.5485080817
711	0.5482889519
712	0.5481998903
713	0.5480122159
714	0.5479916219
715	0.5478531015
716	0.5478107002
717	0.5477249426
718	0.5476336091
719	0.547457686
720	0.5473285919
721	0.5472452768
722	0.547172923
723	0.5469454833
724	0.5468077787
725	0.5467290701
726	0.5466942488
727	0.546607884
728	0.5465431825
729	0.5464680298
730	0.5463903733
731	0.5462527033
732	0.5461638505
733	0.545976236
734	0.5457749902
735	0.5457082115
736	0.5456371401
737	0.5455104037
738	0.5454603489
739	0.5453493008
740	0.5452960185
741	0.545148836
742	0.5451154914
743	0.5450454947
744	0.5448171434
745	0.5446586945
746	0.5445471677
747	0.544450137
748	0.5444250983
749	0.5443479624
750	0.5441781464
751	0.5440877214
752	0.5440145697
753	0.5438453626
754	0.5437950398
755	0.5437268663
756	0.5435309799
757	0.543453973
758	0.543390833
759	0.5433065454
760	0.5432318919
761	0.543123852
762	0.5430397716
763	0.5429437463
764	0.5428730544
765	0.5427772432
766	0.5426857411
767	0.5426091673
768	0.5425445583
769	0.5425291425
770	0.5424714634
771	0.5423586159
772	0.5422631729
773	0.5422424518
774	0.5420660914
775	0.5420348852
776	0.5419830528
777	0.541927754
778	0.5417931004
779	0.5417273398
780	0.5416280693
781	0.5413355361
782	0.5412778299
783	0.5412271413
784	0.541144689
785	0.5410819837
786	0.5409411647
787	0.5408709423
788	0.5406991582
789	0.5406584278
790	0.5405519899
791	0.5404580746
792	0.54035633
793	0.5402727568
794	0.5401433284
795	0.5400888752
796	0.5398216609
797	0.539715332
798	0.53961762
799	0.5395661652
800	0.539463988
801	0.5393092933
802	0.5392223538
803	0.5392001949
804	0.5390745768
805	0.5390220663
806	0.5389944307
807	0.5388918391
808	0.5387705677
809	0.5387178486
810	0.5385750284
811	0.538419926
812	0.5383928793
813	0.5382448679
814	0.5381608917
815	0.5380491052
816	0.5379197096
817	0.5378057001
818	0.5376297307
819	0.5375896631
820	0.5374309861
821	0.537313199
822	0.5371395177
823	0.5371146937
824	0.5370623104
825	0.5369820988
826	0.5366482403
827	0.5365384066
828	0.5364325222
829	0.5363157704
830	0.5360581966
831	0.5359214598
832	0.5357067198
833	0.5355209504
834	0.5354541257
835	0.535321014
836	0.5352751106
837	0.53512327
838	0.5349879595
839	0.5348189519
840	0.5347618761
841	0.5345667439
842	0.5344704316
843	0.5343210296
844	0.5342552985
845	0.5340849216
846	0.5339964063
847	0.5339040423
848	0.533805989
849	0.5336873409
850	0.5336506134
851	0.5336276355
852	0.5334933841
853	0.5334299538
854	0.5333383562
855	0.5331912613
856	0.5330796986
857	0.5330302995
858	0.5329385272
859	0.5328934255
860	0.5328279321
861	0.5327671609
862	0.5325337595
863	0.5322364134
864	0.5321560861
865	0.5320137233
866	0.5319444853
867	0.5319185948
868	0.5317758996
869	0.5317021246
870	0.5314459417
871	0.5313428578
872	0.5312988622
873	0.5311409487
874	0.5309073766
875	0.5307630517
876	0.5306513815
877	0.5303591452
878	0.5302065307
879	0.5300979406
880	0.5299403206
881	0.5298799192
882	0.5297535057
883	0.5297112883
884	0.5295737837
885	0.5295160841
886	0.5294835955
887	0.529442792
888	0.5292819813
889	0.5290852075
890	0.529024195
891	0.5287578007
892	0.5286606605
893	0.5286163167
894	0.5282510366
895	0.5281873828
896	0.5280823531
897	0.5280180443
898	0.5279063672
899	0.5278819599
900	0.5276567539
901	0.5275597138
902	0.5274946881
903	0.5274578773
904	0.5273896599
905	0.527318428
906	0.5272675673
907	0.5271938201
908	0.5271622757
909	0.5271460849
910	0.5269147034
911	0.5268544906
912	0.5266310356
913	0.5265721633
914	0.5264713412
915	0.5264355888
916	0.5263357169
917	0.5262123018
918	0.5261487609
919	0.5258774239
920	0.5257710544
921	0.5257264675
922	0.5254621647
923	0.5254376476
924	0.5253236484
925	0.5252495467
926	0.5252154206
927	0.5251722074
928	0.5250125128
929	0.5249363587
930	0.5248442597
931	0.5246577943
932	0.5245034544
933	0.5244725633
934	0.5243852917
935	0.5243071172
936	0.5241459629
937	0.5240105061
938	0.5238788559
939	0.5238396324
940	0.5238090792
941	0.5235558654
942	0.5235233006
943	0.5235075001
944	0.523324483
945	0.5231190938
946	0.5230073496
947	0.5228892459
948	0.5228111657
949	0.522781027
950	0.5226105723
951	0.5225184495
952	0.5223172754
953	0.5221675983
954	0.522062572
955	0.5217916341
956	0.5217168425
957	0.5216790997
958	0.5216320494
959	0.5214327176
960	0.5213428178
961	0.5212193002
962	0.5210460153
963	0.5210292481
964	0.5210002237
965	0.5208900206
966	0.5207904829
967	0.5207598991
968	0.5207233468
969	0.5206339251
970	0.5205472399
971	0.5204667204
972	0.5202363039
973	0.520182343
974	0.5200744803
975	0.5199380332
976	0.5198587229
977	0.5197940103
978	0.5197293721
979	0.5195013262
980	0.5193773416
981	0.5193019812
982	0.5192440392
983	0.5191688685
984	0.5190344263
985	0.5189191813
986	0.5188700682
987	0.5186994435
988	0.5185022527
989	0.5184864021
990	0.5183476767
991	0.5181789871
992	0.5181477443
993	0.5181069394
994	0.5180648325
995	0.5180353729
996	0.5180147784
997	0.5178981244
998	0.5176345399
999	0.5175304483
