,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,NaturalGas_Percentage,Electricity_Percentage,SteamUse_Percentage,ParkingGFA_Percentage,Neighborhood_EUI/SF,PrimaryPropertyType_EUI/SF
1418,Senior Care Community,LAKE UNION,0.6931471805599453,2.70805020110221,13.492752451298683,0.0,13.492752451298683,Senior Care Community,13.495306671216452,none,0.0,none,0.0,17.447742541214076,6.81790715495482,17,37.248095646743536,62.75189906184298,0.0,0.0,4.54199622261021,4.713396588694249
1422,Worship Facility,SOUTHWEST,0.6931471805599453,0.6931471805599453,10.067432964124373,0.0,10.067432964124373,Worship Facility,9.813508138916603,Office,9.62990560446313,none,0.0,13.18390651842928,1.5496879080283263,66,0.0,99.99996473821949,0.0,0.0,4.710111269083119,3.5353565939790244
1425,Small- and Mid-Sized Office,Ballard,0.6931471805599453,1.6094379124341003,10.26969194669099,0.0,10.26969194669099,Office,9.23921933152656,Other,9.23024103368252,none,0.0,13.72199043130841,1.9947003132247452,24,0.0,99.9999245101688,0.0,0.0,4.384024637835557,4.121695953477062
1429,Warehouse,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,9.957123101702038,0.0,9.957123101702038,Non-Refrigerated Warehouse,9.818691900831412,Office,7.911690520708339,none,0.0,13.423613794628142,3.366260811781259,34,74.58970589785807,25.410312599481,0.0,0.0,3.9862703394562087,3.558324320392524
1430,Refrigerated Warehouse,GREATER DUWAMISH,0.6931471805599453,1.0986122886681098,10.727553340367766,0.0,10.727553340367766,Refrigerated Warehouse,10.727553340367766,none,0.0,none,0.0,14.116554616385637,2.343727036325221,109,0.0,100.00000925057142,0.0,0.0,3.9862703394562087,4.379001219843283
1431,Other,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,10.190957102406585,0.0,10.190957102406585,Manufacturing/Industrial Plant,10.190957102406585,none,0.0,none,0.0,14.622558358459713,2.810606789427302,73,0.0,99.99997769132423,0.0,0.0,3.9862703394562087,4.666034874744712
1432,Warehouse,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,10.244485248089557,0.0,10.244485248089557,Non-Refrigerated Warehouse,9.988793309115229,Office,8.75573753930647,none,0.0,13.6769687053518,2.9770590082883697,48,31.271298885363567,68.72872265086902,0.0,0.0,3.9862703394562087,3.558324320392524
1433,Warehouse,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,10.463131911491967,0.0,10.463131911491967,Non-Refrigerated Warehouse,10.463131911491967,none,0.0,none,0.0,12.844540295132633,1.2919836816486494,59,0.0,99.99989271599041,0.0,0.0,3.9862703394562087,3.558324320392524
1434,Warehouse,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,10.171642709679686,0.0,10.171642709679686,Non-Refrigerated Warehouse,10.171642709679686,none,0.0,none,0.0,14.004814866006422,3.3160025355989236,61,32.513863026973205,67.48616800560158,0.0,0.0,3.9862703394562087,3.558324320392524
1435,Small- and Mid-Sized Office,GREATER DUWAMISH,0.6931471805599453,1.0986122886681098,10.085850775128717,0.0,10.085850775128717,Office,10.085850775128717,none,0.0,none,0.0,13.900363753588307,2.150598735996164,56,0.0,99.9999770338005,0.0,0.0,3.9862703394562087,4.121695953477062
1436,K-12 School,EAST,0.6931471805599453,1.791759469228055,10.682697743861915,0.0,10.682697743861915,K-12 School,10.616682428399852,none,0.0,none,0.0,14.722981106128334,4.307572448748934,55,48.96249887259939,51.03748095020855,0.0,0.0,4.493776181429274,3.933040582287841
1442,Distribution Center,LAKE UNION,0.6931471805599453,0.6931471805599453,10.242848470041249,0.0,10.242848470041249,Distribution Center,10.14960516741016,Office,7.824445930877619,none,0.0,13.585752208280695,2.972463646614637,111,35.447876048889256,64.55217113726657,0.0,0.0,4.54199622261021,3.5765766642659993
1456,Senior Care Community,NORTHWEST,0.6931471805599453,1.0986122886681098,10.845426537791479,0.0,10.845426537791479,Senior Care Community,10.845426537791479,none,0.0,none,0.0,15.548153049559044,5.321692037864487,69,62.96387389582462,37.03612610417538,0.0,0.0,4.368369606516011,4.713396588694249
1458,Worship Facility,NORTHWEST,0.6931471805599453,0.6931471805599453,10.000977173813386,0.0,10.000977173813386,Worship Facility,10.03884852046658,Parking,0.0,none,0.0,12.49040877517827,1.0473189942805592,61,0.0,100.00003525539762,0.0,0.0,4.368369606516011,3.5353565939790244
1462,Warehouse,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,10.360944044643913,0.0,10.360944044643913,Non-Refrigerated Warehouse,10.360944044643913,none,0.0,none,0.0,15.028503508180206,4.647079589065301,44,51.44078306888689,48.55920206580249,0.0,0.0,3.9862703394562087,3.558324320392524
1463,Warehouse,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,10.471354916669316,0.0,10.471354916669316,Non-Refrigerated Warehouse,10.471354916669316,none,0.0,none,0.0,13.6836075530822,3.214867803470662,16,43.99714750263856,56.002852497361445,0.0,0.0,3.9862703394562087,3.558324320392524
1464,Warehouse,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,10.272323253821503,0.0,10.272323253821503,Non-Refrigerated Warehouse,10.308985993422082,none,0.0,none,0.0,14.375366317104303,4.395559648956466,42,84.0584454350644,15.941554564935595,0.0,0.0,3.9862703394562087,3.558324320392524
1465,Warehouse,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,10.00681099476803,0.0,10.00681099476803,Non-Refrigerated Warehouse,10.00681099476803,none,0.0,none,0.0,13.509568957026715,3.5195728343974766,45,81.33293297772069,18.66698215322632,0.0,0.0,3.9862703394562087,3.558324320392524
1468,Small- and Mid-Sized Office,NORTH,0.6931471805599453,1.3862943611198906,10.594833111149445,0.0,10.594833111149445,Office,10.585118677134826,Parking,0.0,none,0.0,15.087633618876914,3.2534704696327,49,0.0,99.9999859881945,0.0,0.0,4.269779718821181,4.121695953477062
1469,Other,NORTH,0.6931471805599453,0.6931471805599453,10.329114700468233,0.0,10.329114700468233,Other - Recreation,10.057109521191693,Office,8.89439598980643,none,0.0,15.272857567772808,4.918593101932022,44,53.42964920655249,46.57035079344751,0.0,0.0,4.269779718821181,4.666034874744712
1470,Medical Office,NORTH,0.6931471805599453,1.0986122886681098,10.201033318424798,8.756367559802975,9.93212359907246,Medical Office,10.201033318424798,none,0.0,none,0.0,13.818502078900227,2.0781907597781832,43,0.0,100.0,0.0,3.201918903341345,4.269779718821181,4.504953110490593
1471,Medical Office,NORTH,0.6931471805599453,1.0986122886681098,10.56478280364689,0.0,10.56478280364689,Medical Office,11.083218892489029,Parking,0.0,none,0.0,14.876898539334114,3.9243467551169777,55,22.100907874019292,77.89905752844177,0.0,0.0,4.269779718821181,4.504953110490593
